Extra options: []
Measured: 10 times

Total Average: 346.137300 msec
Total Max:     586.829000 msec
Total Min:     208.216000 msec

  AVERAGE       MAX       MIN
------------------------------
57.618500 76.718000 44.272000: /Users/s09104/.config/nvim/init.vim
31.929000 76.115000  9.948000: loading rtp plugins
13.106500 29.239000  7.468000: /Users/s09104/.config/nvim/settings/init/plug.vim
12.431400 14.091000 10.466000: /Users/s09104/.config/nvim/settings/plugconfig/telescope.lua
12.374300 14.176000 10.476000: /Users/s09104/.config/nvim/settings/plugconfig/mason.lua
11.782800 13.407000  9.983000: require('telescope.builtin')
11.733200 18.161000  6.791000: inits 1
11.565000 13.200000  9.799000: require('telescope.builtin.__lsp')
 0.017300  0.053000  0.008000: /Users/s09104/.vim/plugged/plantuml-previewer.vim/plugin/plantuml-previewer.vim
 0.015700  0.023000  0.012000: /Users/s09104/.vim/plugged/rust.vim/ftdetect/rust.vim
 0.013900  0.034000  0.008000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/spellfile.vim
 0.013800  0.028000  0.007000: window checked
 0.013800  0.017000  0.011000: require('ffi')
 0.013400  0.028000  0.007000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/tutor.vim
 0.013100  0.015000  0.011000: /Users/s09104/.config/nvim/settings/plugconfig/lazygit.vim
 0.012800  0.014000  0.011000: clear screen
 0.012400  0.015000  0.009000: /Users/s09104/.config/nvim/settings/plugconfig/gitgutter.vim
 0.011466  0.087000  0.004000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/indent.vim
 0.010600  0.013000  0.010000: /Users/s09104/.vim/plugged/vim-log-highlighting/ftdetect/log.vim
 0.010200  0.012000  0.007000: /Users/s09104/.config/nvim/settings/plugconfig/fern.vim
 0.007800  0.009000  0.006000: inits 3
 0.007700  0.010000  0.007000: /Users/s09104/.vim/plugged/vim-cue/ftdetect/cue.vim
 0.007300  0.009000  0.006000: /Users/s09104/.vim/plugged/vim-jsx-typescript/ftdetect/typescript.vim
 0.007300  0.009000  0.006000: /Users/s09104/.vim/plugged/typescript-vim/ftdetect/typescript.vim
 0.007300  0.016000  0.004000: /Users/s09104/.vim/plugged/vim-javascript/ftdetect/flow.vim
 0.007100  0.016000  0.004000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/health.vim
 0.006400  0.008000  0.006000: /Users/s09104/.vim/plugged/kotlin-vim/ftdetect/kotlin.vim
 0.006100  0.013000  0.005000: /Users/s09104/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
 0.006000  0.009000  0.005000: /Users/s09104/.config/nvim/settings/plugconfig/action.vim
 0.004200  0.018000  0.002000: --- NVIM STARTING ---
 0.003900  0.005000  0.003000: require('vim.keymap')
 0.003800  0.019000  0.001000: parsing arguments
 0.003100  0.004000  0.002000: require('vim.F')
 0.001800  0.002000  0.001000: editing files in windows
